File Path,Real Label,Predict Label,Sub Label
Animal/bear/eating grass/1.jpg,bear,bear,eating grass
Animal/bear/eating grass/10.jpg,bear,bird,eating grass
Animal/bear/eating grass/100.jpg,bear,rat,eating grass
Animal/bear/eating grass/101.jpg,bear,bear,eating grass
Animal/bear/eating grass/102.jpg,bear,bear,eating grass
Animal/bear/eating grass/103.jpg,bear,bear,eating grass
Animal/bear/eating grass/104.jpg,bear,sheep,eating grass
Animal/bear/eating grass/105.jpg,bear,bear,eating grass
Animal/bear/eating grass/106.jpg,bear,bear,eating grass
Animal/bear/eating grass/107.jpg,bear,bear,eating grass
Animal/bear/eating grass/108.jpg,bear,sheep,eating grass
Animal/bear/eating grass/109.jpg,bear,bear,eating grass
Animal/bear/eating grass/11.jpg,bear,bear,eating grass
Animal/bear/eating grass/110.jpg,bear,bear,eating grass
Animal/bear/eating grass/111.jpg,bear,bear,eating grass
Animal/bear/eating grass/112.jpg,bear,bear,eating grass
Animal/bear/eating grass/113.jpg,bear,bear,eating grass
Animal/bear/eating grass/114.jpg,bear,bear,eating grass
Animal/bear/eating grass/115.jpg,bear,bear,eating grass
Animal/bear/eating grass/116.jpg,bear,bear,eating grass
Animal/bear/eating grass/117.jpg,bear,bear,eating grass
Animal/bear/eating grass/118.jpg,bear,bear,eating grass
Animal/bear/eating grass/119.jpg,bear,sheep,eating grass
Animal/bear/eating grass/12.jpg,bear,bear,eating grass
Animal/bear/eating grass/120.jpg,bear,sheep,eating grass
Animal/bear/eating grass/121.jpg,bear,bear,eating grass
Animal/bear/eating grass/122.jpg,bear,bear,eating grass
Animal/bear/eating grass/123.jpg,bear,bear,eating grass
Animal/bear/eating grass/124.jpg,bear,bear,eating grass
Animal/bear/eating grass/125.jpg,bear,bear,eating grass
Animal/bear/eating grass/126.jpg,bear,bear,eating grass
Animal/bear/eating grass/127.jpg,bear,bear,eating grass
Animal/bear/eating grass/128.jpg,bear,bear,eating grass
Animal/bear/eating grass/129.jpg,bear,cat,eating grass
Animal/bear/eating grass/13.jpg,bear,bear,eating grass
Animal/bear/eating grass/130.jpg,bear,bear,eating grass
Animal/bear/eating grass/131.jpg,bear,cow,eating grass
Animal/bear/eating grass/132.jpg,bear,bear,eating grass
Animal/bear/eating grass/133.jpg,bear,bear,eating grass
Animal/bear/eating grass/14.jpg,bear,bear,eating grass
Animal/bear/eating grass/15.jpg,bear,cow,eating grass
Animal/bear/eating grass/16.jpg,bear,bear,eating grass
Animal/bear/eating grass/17.jpg,bear,bear,eating grass
Animal/bear/eating grass/18.jpg,bear,bear,eating grass
Animal/bear/eating grass/19.jpg,bear,bear,eating grass
Animal/bear/eating grass/2.jpg,bear,bear,eating grass
Animal/bear/eating grass/20.jpg,bear,bear,eating grass
Animal/bear/eating grass/21.jpg,bear,bear,eating grass
Animal/bear/eating grass/22.jpg,bear,bear,eating grass
Animal/bear/eating grass/23.jpg,bear,bear,eating grass
Animal/bear/eating grass/24.jpg,bear,bear,eating grass
Animal/bear/eating grass/25.jpg,bear,bear,eating grass
Animal/bear/eating grass/26.jpg,bear,bear,eating grass
Animal/bear/eating grass/27.jpg,bear,rat,eating grass
Animal/bear/eating grass/28.jpg,bear,cow,eating grass
Animal/bear/eating grass/29.jpg,bear,bear,eating grass
Animal/bear/eating grass/3.jpg,bear,bear,eating grass
Animal/bear/eating grass/30.jpg,bear,bear,eating grass
Animal/bear/eating grass/31.jpg,bear,bear,eating grass
Animal/bear/eating grass/32.jpg,bear,dog,eating grass
Animal/bear/eating grass/33.jpg,bear,bear,eating grass
Animal/bear/eating grass/34.jpg,bear,bear,eating grass
Animal/bear/eating grass/35.jpg,bear,cat,eating grass
Animal/bear/eating grass/36.jpg,bear,bear,eating grass
Animal/bear/eating grass/37.jpg,bear,bear,eating grass
Animal/bear/eating grass/38.jpg,bear,bear,eating grass
Animal/bear/eating grass/39.jpg,bear,bear,eating grass
Animal/bear/eating grass/4.png,bear,dog,eating grass
Animal/bear/eating grass/40.jpg,bear,bear,eating grass
Animal/bear/eating grass/41.jpg,bear,bear,eating grass
Animal/bear/eating grass/42.jpg,bear,bear,eating grass
Animal/bear/eating grass/43.jpg,bear,bear,eating grass
Animal/bear/eating grass/44.jpg,bear,bear,eating grass
Animal/bear/eating grass/45.jpg,bear,bear,eating grass
Animal/bear/eating grass/46.jpg,bear,bear,eating grass
Animal/bear/eating grass/47.jpg,bear,bear,eating grass
Animal/bear/eating grass/48.jpg,bear,monkey,eating grass
Animal/bear/eating grass/49.jpg,bear,bear,eating grass
Animal/bear/eating grass/5.jpg,bear,dog,eating grass
Animal/bear/eating grass/50.jpeg,bear,bear,eating grass
Animal/bear/eating grass/51.jpg,bear,bear,eating grass
Animal/bear/eating grass/52.jpg,bear,bear,eating grass
Animal/bear/eating grass/53.jpg,bear,bear,eating grass
Animal/bear/eating grass/54.jpg,bear,bear,eating grass
Animal/bear/eating grass/55.jpg,bear,bear,eating grass
Animal/bear/eating grass/56.jpg,bear,bear,eating grass
Animal/bear/eating grass/57.jpg,bear,bear,eating grass
Animal/bear/eating grass/58.jpg,bear,bear,eating grass
Animal/bear/eating grass/59.jpg,bear,bear,eating grass
Animal/bear/eating grass/6.jpg,bear,bear,eating grass
Animal/bear/eating grass/60.jpg,bear,bear,eating grass
Animal/bear/eating grass/61.jpg,bear,bear,eating grass
Animal/bear/eating grass/62.jpg,bear,cow,eating grass
Animal/bear/eating grass/63.jpg,bear,bear,eating grass
Animal/bear/eating grass/64.jpg,bear,elephant,eating grass
Animal/bear/eating grass/65.jpg,bear,bear,eating grass
Animal/bear/eating grass/66.jpg,bear,bear,eating grass
Animal/bear/eating grass/67.jpg,bear,bear,eating grass
