File Path,Real Label,Predict Label,Sub Label
Animal/bear/in water/1.jpg,bear,bear,in water
Animal/bear/in water/10.jpg,bear,bear,in water
Animal/bear/in water/100.jpg,bear,bear,in water
Animal/bear/in water/103.png,bear,cat,in water
Animal/bear/in water/104.jpg,bear,bear,in water
Animal/bear/in water/105.jpg,bear,bird,in water
Animal/bear/in water/106.jpg,bear,bear,in water
Animal/bear/in water/107.jpg,bear,sheep,in water
Animal/bear/in water/108.jpg,bear,bear,in water
Animal/bear/in water/109.jpg,bear,cat,in water
Animal/bear/in water/11.jpg,bear,cat,in water
Animal/bear/in water/110.jpg,bear,bear,in water
Animal/bear/in water/111.jpg,bear,rat,in water
Animal/bear/in water/112.jpg,bear,bird,in water
Animal/bear/in water/113.jpg,bear,bear,in water
Animal/bear/in water/114.jpg,bear,bear,in water
Animal/bear/in water/115.jpg,bear,bear,in water
Animal/bear/in water/116.jpg,bear,elephant,in water
Animal/bear/in water/117.jpg,bear,bear,in water
Animal/bear/in water/118.jpg,bear,horse,in water
Animal/bear/in water/119.jpg,bear,rat,in water
Animal/bear/in water/12.jpg,bear,bear,in water
Animal/bear/in water/120.jpg,bear,bear,in water
Animal/bear/in water/121.jpg,bear,bear,in water
Animal/bear/in water/122.jpg,bear,bear,in water
Animal/bear/in water/123.jpg,bear,dog,in water
Animal/bear/in water/124.jpg,bear,bear,in water
Animal/bear/in water/125.jpg,bear,bear,in water
Animal/bear/in water/126.jpg,bear,horse,in water
Animal/bear/in water/127.jpg,bear,bird,in water
Animal/bear/in water/128.jpg,bear,bear,in water
Animal/bear/in water/129.jpg,bear,bear,in water
Animal/bear/in water/13.jpeg,bear,horse,in water
Animal/bear/in water/130.jpg,bear,bird,in water
Animal/bear/in water/131.jpg,bear,rat,in water
Animal/bear/in water/132.jpg,bear,bear,in water
Animal/bear/in water/133.jpg,bear,bird,in water
Animal/bear/in water/134.jpg,bear,bear,in water
Animal/bear/in water/135.jpg,bear,dog,in water
Animal/bear/in water/136.jpg,bear,bear,in water
Animal/bear/in water/137.jpg,bear,elephant,in water
Animal/bear/in water/138.jpg,bear,cat,in water
Animal/bear/in water/139.jpg,bear,bear,in water
Animal/bear/in water/14.jpg,bear,bear,in water
Animal/bear/in water/140.jpg,bear,dog,in water
Animal/bear/in water/141.jpg,bear,dog,in water
Animal/bear/in water/142.jpg,bear,bear,in water
Animal/bear/in water/143.jpg,bear,bear,in water
Animal/bear/in water/144.jpg,bear,bear,in water
Animal/bear/in water/145.jpg,bear,horse,in water
Animal/bear/in water/146.jpg,bear,bear,in water
Animal/bear/in water/147.jpg,bear,bear,in water
Animal/bear/in water/148.jpg,bear,rat,in water
Animal/bear/in water/149.jpg,bear,bear,in water
Animal/bear/in water/15.jpg,bear,bird,in water
Animal/bear/in water/150.jpg,bear,rat,in water
Animal/bear/in water/151.jpg,bear,bear,in water
Animal/bear/in water/152.jpg,bear,bear,in water
Animal/bear/in water/153.jpg,bear,bear,in water
Animal/bear/in water/154.jpg,bear,bear,in water
Animal/bear/in water/155.jpg,bear,bear,in water
Animal/bear/in water/156.jpg,bear,bear,in water
Animal/bear/in water/157.jpg,bear,bear,in water
Animal/bear/in water/158.jpg,bear,monkey,in water
Animal/bear/in water/159.jpg,bear,rat,in water
Animal/bear/in water/16.jpg,bear,cat,in water
Animal/bear/in water/160.jpg,bear,bear,in water
Animal/bear/in water/161.jpg,bear,bear,in water
Animal/bear/in water/162.jpg,bear,horse,in water
Animal/bear/in water/163.jpg,bear,bear,in water
Animal/bear/in water/164.jpg,bear,rat,in water
Animal/bear/in water/165.jpg,bear,bear,in water
Animal/bear/in water/166.jpg,bear,bear,in water
Animal/bear/in water/167.jpg,bear,bear,in water
Animal/bear/in water/168.jpg,bear,bear,in water
Animal/bear/in water/169.jpg,bear,rat,in water
Animal/bear/in water/17.jpg,bear,bear,in water
Animal/bear/in water/170.jpg,bear,bear,in water
Animal/bear/in water/171.jpg,bear,bear,in water
Animal/bear/in water/172.jpg,bear,bear,in water
Animal/bear/in water/173.jpg,bear,bird,in water
Animal/bear/in water/174.jpg,bear,rat,in water
Animal/bear/in water/18.jpg,bear,cat,in water
Animal/bear/in water/19.jpg,bear,bird,in water
Animal/bear/in water/2.jpg,bear,bear,in water
Animal/bear/in water/20.jpg,bear,elephant,in water
Animal/bear/in water/21.jpg,bear,bear,in water
Animal/bear/in water/22.jpg,bear,bear,in water
Animal/bear/in water/23.jpg,bear,horse,in water
Animal/bear/in water/24.jpg,bear,bear,in water
Animal/bear/in water/25.jpg,bear,bear,in water
Animal/bear/in water/27.jpg,bear,dog,in water
Animal/bear/in water/28.jpg,bear,bear,in water
Animal/bear/in water/29.jpg,bear,sheep,in water
Animal/bear/in water/3.jpg,bear,bear,in water
Animal/bear/in water/30.jpg,bear,bear,in water
Animal/bear/in water/31.jpg,bear,cat,in water
Animal/bear/in water/32.jpg,bear,cat,in water
Animal/bear/in water/33.jpg,bear,bear,in water
Animal/bear/in water/34.jpeg,bear,dog,in water
Animal/bear/in water/35.jpg,bear,dog,in water
Animal/bear/in water/36.jpg,bear,bird,in water
Animal/bear/in water/37.jpg,bear,bear,in water
Animal/bear/in water/38.jpg,bear,bear,in water
Animal/bear/in water/39.jpg,bear,bear,in water
Animal/bear/in water/4.jpg,bear,bear,in water
Animal/bear/in water/40.jpg,bear,bear,in water
Animal/bear/in water/41.jpg,bear,bear,in water
Animal/bear/in water/42.jpg,bear,bear,in water
Animal/bear/in water/43.jpg,bear,rat,in water
Animal/bear/in water/44.jpg,bear,bear,in water
Animal/bear/in water/45.jpg,bear,bear,in water
Animal/bear/in water/46.jpg,bear,bear,in water
Animal/bear/in water/47.jpg,bear,bird,in water
Animal/bear/in water/48.jpg,bear,cat,in water
Animal/bear/in water/49.jpg,bear,bear,in water
Animal/bear/in water/5.jpeg,bear,bear,in water
Animal/bear/in water/50.jpg,bear,bear,in water
Animal/bear/in water/51.jpg,bear,bear,in water
Animal/bear/in water/52.jpg,bear,bear,in water
Animal/bear/in water/53.jpg,bear,rat,in water
Animal/bear/in water/54.jpg,bear,bear,in water
Animal/bear/in water/55.jpg,bear,rat,in water
Animal/bear/in water/56.jpg,bear,bear,in water
Animal/bear/in water/57.jpg,bear,bear,in water
Animal/bear/in water/58.jpg,bear,bird,in water
Animal/bear/in water/59.jpg,bear,sheep,in water
Animal/bear/in water/6.jpg,bear,bear,in water
Animal/bear/in water/60.jpg,bear,horse,in water
Animal/bear/in water/61.jpg,bear,bear,in water
Animal/bear/in water/62.jpg,bear,dog,in water
Animal/bear/in water/63.jpg,bear,bear,in water
Animal/bear/in water/64.jpg,bear,bear,in water
Animal/bear/in water/65.jpg,bear,bird,in water
Animal/bear/in water/66.jpg,bear,bear,in water
Animal/bear/in water/67.jpg,bear,bear,in water
Animal/bear/in water/68.jpg,bear,bird,in water
Animal/bear/in water/69.jpg,bear,bear,in water
Animal/bear/in water/7.jpg,bear,bear,in water
Animal/bear/in water/70.jpg,bear,bear,in water
Animal/bear/in water/71.jpg,bear,bear,in water
Animal/bear/in water/72.jpg,bear,bear,in water
Animal/bear/in water/73.jpg,bear,bear,in water
Animal/bear/in water/74.jpg,bear,bear,in water
Animal/bear/in water/75.jpg,bear,bird,in water
Animal/bear/in water/76.jpg,bear,horse,in water
Animal/bear/in water/77.jpg,bear,monkey,in water
Animal/bear/in water/79.jpg,bear,horse,in water
Animal/bear/in water/8.jpg,bear,horse,in water
Animal/bear/in water/80.jpg,bear,bird,in water
Animal/bear/in water/81.jpg,bear,bear,in water
Animal/bear/in water/82.jpg,bear,horse,in water
Animal/bear/in water/83.jpg,bear,elephant,in water
Animal/bear/in water/84.jpg,bear,bear,in water
Animal/bear/in water/85.jpg,bear,horse,in water
Animal/bear/in water/86.jpg,bear,bear,in water
Animal/bear/in water/87.jpg,bear,bear,in water
Animal/bear/in water/88.jpg,bear,bear,in water
Animal/bear/in water/89.jpg,bear,monkey,in water
Animal/bear/in water/9.jpg,bear,cat,in water
Animal/bear/in water/90.jpg,bear,dog,in water
Animal/bear/in water/91.jpg,bear,bear,in water
Animal/bear/in water/92.jpg,bear,bear,in water
Animal/bear/in water/93.jpg,bear,bear,in water
Animal/bear/in water/94.jpg,bear,bear,in water
Animal/bear/in water/95.jpg,bear,bear,in water
Animal/bear/in water/96.jpg,bear,bear,in water
Animal/bear/in water/97.jpg,bear,bear,in water
Animal/bear/in water/98.jpg,bear,rat,in water
Animal/bear/in water/99.jpg,bear,cat,in water
Animal/bear/on snow/0.jpg,bear,monkey,on snow
Animal/bear/on snow/1.jpg,bear,bear,on snow
Animal/bear/on snow/10.jpg,bear,bear,on snow
Animal/bear/on snow/100.jpg,bear,bear,on snow
