File Path,Real Label,Predict Label,Sub Label
Animal/bear/eating grass/1.jpg,bear,bear,eating grass
Animal/bear/eating grass/10.jpg,bear,bear,eating grass
Animal/bear/eating grass/100.jpg,bear,cat,eating grass
Animal/bear/eating grass/101.jpg,bear,bear,eating grass
Animal/bear/eating grass/102.jpg,bear,bear,eating grass
Animal/bear/eating grass/103.jpg,bear,bear,eating grass
Animal/bear/eating grass/104.jpg,bear,bear,eating grass
Animal/bear/eating grass/105.jpg,bear,bear,eating grass
Animal/bear/eating grass/106.jpg,bear,bear,eating grass
Animal/bear/eating grass/107.jpg,bear,bear,eating grass
Animal/bear/eating grass/108.jpg,bear,sheep,eating grass
Animal/bear/eating grass/109.jpg,bear,bear,eating grass
Animal/bear/eating grass/11.jpg,bear,bear,eating grass
Animal/bear/eating grass/110.jpg,bear,bear,eating grass
Animal/bear/eating grass/111.jpg,bear,bear,eating grass
Animal/bear/eating grass/112.jpg,bear,bear,eating grass
Animal/bear/eating grass/113.jpg,bear,bear,eating grass
Animal/bear/eating grass/114.jpg,bear,bear,eating grass
Animal/bear/eating grass/115.jpg,bear,bear,eating grass
Animal/bear/eating grass/116.jpg,bear,bear,eating grass
Animal/bear/eating grass/117.jpg,bear,bear,eating grass
Animal/bear/eating grass/118.jpg,bear,bear,eating grass
Animal/bear/eating grass/119.jpg,bear,bear,eating grass
Animal/bear/eating grass/12.jpg,bear,bear,eating grass
Animal/bear/eating grass/120.jpg,bear,bear,eating grass
Animal/bear/eating grass/121.jpg,bear,bear,eating grass
Animal/bear/eating grass/122.jpg,bear,bear,eating grass
Animal/bear/eating grass/123.jpg,bear,bear,eating grass
Animal/bear/eating grass/124.jpg,bear,bear,eating grass
Animal/bear/eating grass/125.jpg,bear,bear,eating grass
Animal/bear/eating grass/126.jpg,bear,bear,eating grass
Animal/bear/eating grass/127.jpg,bear,bear,eating grass
Animal/bear/eating grass/128.jpg,bear,bear,eating grass
Animal/bear/eating grass/129.jpg,bear,bear,eating grass
Animal/bear/eating grass/13.jpg,bear,bear,eating grass
Animal/bear/eating grass/130.jpg,bear,bear,eating grass
Animal/bear/eating grass/131.jpg,bear,sheep,eating grass
Animal/bear/eating grass/132.jpg,bear,bear,eating grass
Animal/bear/eating grass/133.jpg,bear,bear,eating grass
Animal/bear/eating grass/14.jpg,bear,bear,eating grass
Animal/bear/eating grass/15.jpg,bear,cat,eating grass
Animal/bear/eating grass/16.jpg,bear,bear,eating grass
Animal/bear/eating grass/17.jpg,bear,bear,eating grass
Animal/bear/eating grass/18.jpg,bear,bear,eating grass
Animal/bear/eating grass/19.jpg,bear,bear,eating grass
Animal/bear/eating grass/2.jpg,bear,bear,eating grass
Animal/bear/eating grass/20.jpg,bear,bear,eating grass
Animal/bear/eating grass/21.jpg,bear,bear,eating grass
